team,player,period,min,sec,shot play,shot type,body part,x,y,goalmouth y,goalmouth z,saved x,saved y
Real Madrid,Marco Asensio,1,5,1,regular play,Shot off target,left foot,90.7,63.7,49.1,43.1,,
Real Madrid,Gareth Bale,1,16,3,regular play,Goal,right foot,90.0,45.8,47.3,21.5,,
Real Madrid,Toni Kroos,1,21,3,regular play,Shot saved,right foot,74.3,48.7,,,75.6,48.2
Real Madrid,Marco Asensio,1,21,40,regular play,Shot saved,left foot,81.9,43.1,,,82.8,43.3
Leganés,Guido Carrillo,1,23,33,penalty,Goal,right foot,88.5,50.0,45.6,0.6,,
Leganés,Michael Santos,1,27,36,fast break,Shot saved,right foot,76.0,52.4,,,97.2,50.7
Real Madrid,Gareth Bale,1,31,32,regular play,Shot saved,head,91.2,61.8,,,98.5,52.9
Leganés,Nabil El Zhar,1,37,5,regular play,Shot saved,right foot,71.7,42.7,,,81.2,45.8
Real Madrid,Gareth Bale,1,40,42,regular play,Shot off target,left foot,73.1,35.5,51.9,84.7,,
Real Madrid,Karim Benzema,1,41,52,regular play,Shot saved,right foot,96.4,34.7,,,99.1,45.1
Real Madrid,Raphael Varane,1,42,17,from corner,Shot off target,head,89.4,60.0,39.3,80.6,,
Real Madrid,Marco Asensio,1,46,12,from corner,Shot saved,left foot,97.1,28.0,,,98.8,46.2
Real Madrid,Karim Benzema,2,47,11,regular play,Goal,head,91.1,48.6,47.4,5.1,,
Leganés,Michael Santos,2,53,32,from corner,Shot saved,head,87.0,54.8,,,88.6,54.7
Real Madrid,Karim Benzema,2,57,5,regular play,Shot saved,right foot,86.5,63.7,,,89.4,60.5
Real Madrid,Toni Kroos,2,57,26,regular play,Shot off target,right foot,82.1,53.6,42.7,6.9,,
Real Madrid,Karim Benzema,2,60,53,regular play,Goal,right foot,84.0,41.2,53.5,1.3,,
Leganés,Michael Santos,2,63,50,regular play,Shot off target,head,89.3,42.5,60,19.4,,
Real Madrid,Sergio Ramos,2,65,55,penalty,Goal,right foot,88.4,50.6,46.0,23.4,,
Leganés,Javier Eraso,2,67,9,regular play,Shot saved,right foot,79.2,70.0,,,97.3,51.6
Real Madrid,Gareth Bale,2,71,50,regular play,Shot off target,left foot,87.6,28.3,51.1,62.5,,
Leganés,Youssef En-Nesyri,2,74,33,regular play,Shot saved,left foot,76.2,33.0,,,77.7,33.8
Real Madrid,Gareth Bale,2,76,34,regular play,Shot off target,left foot,84.9,44.5,57.6,87.5,,
Real Madrid,Isco,2,92,14,regular play,Shot saved,right foot,89.9,47.0,,,99.1,49.8
Leganés,Youssef En-Nesyri,2,92,52,regular play,Shot off target,head,91.3,51.6,57.1,18.1,,
